iter	Passed	Remaining
0	10	10182
1	18	9402
2	28	9422
3	35	8845
4	45	9004
5	50	8431
6	57	8199
7	64	8049
8	71	7838
9	76	7591
10	83	7503
11	88	7254
12	93	7095
13	99	7030
14	106	6993
15	110	6826
16	116	6714
17	119	6540
18	124	6444
19	129	6322
20	132	6194
21	138	6158
22	143	6078
23	148	6048
24	152	5962
25	158	5919
26	162	5869
27	167	5797
28	173	5792
29	177	5753
30	184	5752
31	188	5700
32	194	5707
33	199	5672
34	205	5653
35	209	5602
36	213	5554
37	217	5507
38	223	5509
39	228	5475
40	233	5464
41	237	5415
42	241	5372
43	246	5350
44	249	5304
45	254	5277
46	258	5240
47	262	5205
48	266	5180
49	270	5138
50	275	5126
51	279	5099
52	283	5070
53	289	5071
54	294	5066
55	300	5062
56	304	5033
57	309	5030
58	313	4999
59	318	4983
60	321	4955
61	326	4945
62	334	4967
63	338	4949
64	345	4975
65	352	4988
66	356	4962
67	361	4957
68	365	4931
69	369	4909
70	375	4917
71	380	4903
72	386	4907
73	391	4898
74	397	4907
75	404	4913
76	409	4904
77	418	4945
78	430	5013
79	452	5208
80	469	5328
81	483	5410
82	492	5444
83	499	5445
84	509	5488
85	519	5522
86	527	5537
87	537	5570
88	548	5616
89	561	5681
90	570	5697
91	581	5735
92	593	5789
93	602	5804
94	614	5856
95	623	5875
96	634	5904
97	647	5963
98	660	6009
99	667	6011
100	679	6051
101	692	6098
102	702	6114
103	709	6114
104	719	6134
105	738	6232
106	751	6268
107	762	6298
108	769	6292
109	777	6291
110	786	6297
111	796	6313
112	804	6315
113	813	6321
114	823	6334
115	830	6328
116	838	6325
117	846	6330
118	853	6320
119	862	6322
120	873	6348
121	884	6362
122	893	6370
123	901	6366
124	908	6360
125	916	6358
126	925	6362
127	936	6379
128	946	6391
129	955	6396
130	967	6419
131	980	6449
132	992	6467
133	1001	6473
134	1012	6488
135	1023	6502
136	1031	6495
137	1038	6487
138	1048	6492
139	1055	6485
140	1065	6491
141	1070	6470
142	1075	6445
143	1085	6452
144	1096	6467
145	1107	6476
146	1117	6483
147	1133	6525
148	1143	6532
149	1152	6528
150	1161	6528
151	1169	6525
152	1174	6503
153	1180	6486
154	1187	6472
155	1192	6450
156	1198	6433
157	1202	6409
158	1209	6394
159	1213	6369
160	1220	6358
161	1224	6334
162	1231	6326
163	1236	6302
164	1245	6304
165	1252	6293
166	1257	6273
167	1266	6270
168	1274	6268
169	1278	6243
170	1286	6236
171	1290	6212
172	1296	6197
173	1300	6173
174	1306	6158
175	1310	6133
176	1315	6117
177	1319	6094
178	1323	6071
179	1329	6055
180	1333	6033
181	1339	6019
182	1344	6001
183	1351	5993
184	1355	5972
185	1362	5963
186	1367	5943
187	1373	5931
188	1377	5912
189	1383	5898
190	1387	5877
191	1393	5863
192	1397	5843
193	1403	5831
194	1407	5811
195	1413	5797
196	1417	5779
197	1424	5767
198	1428	5750
199	1434	5736
200	1438	5718
201	1443	5700
202	1448	5686
203	1452	5667
204	1459	5660
205	1464	5646
206	1470	5633
207	1477	5626
208	1482	5612
209	1489	5603
210	1493	5585
211	1499	5573
212	1503	5555
213	1509	5543
214	1513	5525
215	1518	5511
216	1525	5503
217	1531	5492
218	1535	5476
219	1540	5462
220	1545	5446
221	1550	5432
222	1555	5419
223	1559	5403
224	1565	5393
225	1569	5376
226	1576	5368
227	1582	5357
228	1588	5347
229	1592	5332
230	1598	5320
231	1602	5306
232	1607	5292
233	1611	5276
234	1617	5266
235	1622	5251
236	1629	5246
237	1634	5233
238	1639	5221
239	1643	5204
240	1649	5195
241	1653	5179
242	1660	5172
243	1664	5157
244	1672	5153
245	1677	5140
246	1683	5133
247	1688	5118
248	1694	5110
249	1699	5099
250	1705	5089
251	1710	5075
252	1715	5064
253	1720	5052
254	1725	5041
255	1730	5029
256	1737	5022
257	1743	5014
258	1748	5001
259	1754	4992
260	1758	4979
261	1765	4971
262	1769	4959
263	1775	4949
264	1779	4936
265	1785	4927
266	1791	4917
267	1796	4907
268	1801	4894
269	1806	4883
270	1811	4872
271	1815	4860
272	1820	4848
273	1825	4835
274	1830	4825
275	1834	4812
276	1840	4804
277	1845	4792
278	1851	4783
279	1855	4770
280	1861	4762
281	1866	4751
282	1872	4743
283	1876	4731
284	1882	4723
285	1887	4710
286	1893	4703
287	1899	4696
288	1908	4695
289	1914	4687
290	1919	4676
291	1924	4666
292	1929	4655
293	1934	4644
294	1939	4635
295	1944	4624
296	1949	4615
297	1953	4602
298	1959	4594
299	1963	4582
300	1971	4578
301	1978	4573
302	1984	4564
303	1990	4557
304	1994	4544
305	2000	4537
306	2004	4525
307	2009	4515
308	2014	4504
309	2019	4495
310	2025	4486
311	2030	4478
312	2035	4467
313	2040	4457
314	2045	4447
315	2049	4436
316	2055	4428
317	2060	4418
318	2066	4411
319	2071	4402
320	2077	4393
321	2081	4382
322	2086	4373
323	2090	4362
324	2096	4355
325	2100	4343
326	2107	4336
327	2111	4325
328	2116	4317
329	2121	4306
330	2127	4299
331	2131	4287
332	2136	4278
333	2142	4271
334	2149	4267
335	2153	4256
336	2160	4249
337	2163	4238
338	2170	4231
339	2174	4221
340	2180	4213
341	2184	4203
342	2188	4192
343	2193	4183
344	2197	4171
345	2202	4163
346	2206	4152
347	2211	4142
348	2216	4134
349	2220	4123
350	2226	4115
351	2229	4104
352	2235	4097
353	2239	4086
354	2243	4076
355	2248	4066
356	2253	4057
357	2258	4049
358	2261	4038
359	2268	4032
360	2272	4022
361	2278	4015
362	2281	4004
363	2286	3995
364	2290	3985
365	2294	3974
366	2299	3966
367	2304	3958
368	2310	3951
369	2314	3940
370	2320	3934
371	2324	3924
372	2328	3914
373	2333	3906
374	2337	3895
375	2342	3888
376	2346	3878
377	2352	3870
378	2356	3860
379	2359	3850
380	2366	3845
381	2370	3835
382	2377	3829
383	2382	3821
384	2387	3814
385	2391	3803
386	2397	3797
387	2401	3787
388	2406	3780
389	2410	3770
390	2414	3760
391	2419	3753
392	2423	3742
393	2429	3736
394	2433	3726
395	2438	3719
396	2442	3709
397	2450	3707
398	2457	3701
399	2463	3695
400	2468	3687
401	2474	3680
402	2482	3678
403	2489	3671
404	2495	3666
405	2500	3658
406	2505	3650
407	2510	3643
408	2516	3636
409	2521	3628
410	2526	3621
411	2530	3611
412	2536	3605
413	2540	3595
414	2546	3590
415	2550	3580
416	2555	3572
417	2560	3564
418	2563	3555
419	2568	3547
420	2572	3538
421	2580	3534
422	2586	3528
423	2593	3523
424	2603	3521
425	2609	3516
426	2615	3510
427	2624	3507
428	2633	3505
429	2641	3501
430	2649	3498
431	2659	3497
432	2670	3497
433	2680	3496
434	2690	3495
435	2704	3497
436	2711	3493
437	2719	3488
438	2729	3487
439	2738	3485
440	2745	3479
441	2755	3478
442	2760	3470
443	2764	3461
444	2772	3457
445	2778	3451
446	2785	3446
447	2794	3443
448	2801	3437
449	2809	3433
450	2816	3428
451	2824	3424
452	2831	3418
453	2838	3414
454	2848	3411
455	2854	3405
456	2858	3396
457	2863	3389
458	2871	3384
459	2880	3381
460	2886	3375
461	2893	3369
462	2901	3365
463	2909	3360
464	2916	3355
465	2923	3350
466	2931	3346
467	2938	3340
468	2946	3335
469	2955	3332
470	2965	3331
471	2976	3329
472	2986	3327
473	2996	3325
474	3003	3319
475	3010	3313
476	3018	3309
477	3024	3302
478	3031	3296
479	3038	3291
480	3043	3284
481	3051	3279
482	3057	3272
483	3063	3265
484	3072	3262
485	3082	3259
486	3092	3257
487	3104	3256
488	3114	3254
489	3121	3249
490	3128	3242
491	3137	3239
492	3144	3233
493	3150	3227
494	3158	3222
495	3165	3216
496	3170	3208
497	3178	3203
498	3183	3196
499	3190	3190
500	3199	3187
501	3209	3183
502	3214	3176
503	3222	3170
504	3227	3163
505	3234	3157
506	3242	3153
507	3249	3146
508	3253	3138
509	3260	3132
510	3266	3125
511	3274	3120
512	3280	3114
513	3287	3107
514	3296	3104
515	3302	3097
516	3310	3092
517	3318	3088
518	3329	3085
519	3338	3082
520	3345	3075
521	3352	3070
522	3361	3065
523	3369	3060
524	3375	3053
525	3383	3048
526	3391	3043
527	3396	3036
528	3404	3031
529	3413	3027
530	3420	3021
531	3426	3014
532	3435	3009
533	3442	3004
534	3447	2996
535	3458	2994
536	3468	2990
537	3479	2987
538	3496	2990
539	3503	2984
540	3520	2986
541	3530	2983
542	3539	2978
543	3551	2976
544	3560	2972
545	3569	2968
546	3578	2963
547	3586	2957
548	3594	2952
549	3604	2948
550	3609	2941
551	3618	2936
552	3623	2928
553	3627	2920
554	3632	2912
555	3636	2903
556	3640	2895
557	3645	2887
558	3650	2879
559	3663	2878
560	3672	2873
561	3679	2867
562	3686	2861
563	3692	2854
564	3702	2850
565	3716	2849
566	3726	2845
567	3736	2841
568	3745	2837
569	3756	2834
570	3767	2830
571	3776	2826
572	3787	2822
573	3797	2818
574	3819	2823
575	3829	2819
576	3839	2814
577	3853	2813
578	3864	2809
579	3879	2809
580	3890	2805
581	3899	2800
582	3908	2795
583	3916	2789
584	3926	2785
585	3930	2776
586	3938	2770
587	3943	2763
588	3949	2755
589	3953	2747
590	3958	2739
591	3962	2730
592	3968	2723
593	3972	2714
594	3978	2707
595	3982	2699
596	3988	2692
597	3993	2684
598	3998	2676
599	4003	2668
600	4011	2663
601	4015	2654
602	4024	2649
603	4031	2642
604	4037	2636
605	4045	2630
606	4054	2624
607	4059	2617
608	4064	2609
609	4068	2601
610	4076	2595
611	4080	2586
612	4086	2579
613	4090	2571
614	4096	2564
615	4100	2556
616	4107	2549
617	4112	2541
618	4119	2535
619	4124	2527
620	4131	2521
621	4137	2514
622	4142	2507
623	4152	2502
624	4160	2496
625	4167	2489
626	4175	2483
627	4182	2477
628	4187	2469
629	4195	2463
630	4199	2455
631	4205	2448
632	4209	2440
633	4216	2433
634	4219	2425
635	4226	2419
636	4231	2411
637	4237	2404
638	4241	2396
639	4247	2389
640	4253	2382
641	4259	2375
642	4263	2367
643	4270	2360
644	4273	2352
645	4279	2345
646	4284	2337
647	4292	2331
648	4297	2324
649	4302	2316
650	4306	2308
651	4313	2302
652	4317	2294
653	4324	2287
654	4327	2279
655	4335	2273
656	4339	2265
657	4381	2277
658	4410	2282
659	4417	2275
660	4424	2269
661	4437	2265
662	4449	2261
663	4456	2254
664	4461	2247
665	4467	2240
666	4471	2232
667	4477	2225
668	4481	2217
669	4487	2210
670	4491	2202
671	4498	2195
672	4502	2187
673	4510	2181
674	4516	2174
675	4522	2167
676	4531	2161
677	4537	2155
678	4544	2148
679	4552	2142
680	4559	2135
681	4564	2128
682	4572	2122
683	4577	2114
684	4585	2108
685	4590	2101
686	4597	2094
687	4604	2088
688	4609	2080
689	4617	2074
690	4623	2067
691	4628	2060
692	4634	2053
693	4639	2045
694	4649	2040
695	4658	2034
696	4665	2028
697	4672	2021
698	4680	2015
699	4689	2009
700	4694	2002
701	4703	1996
702	4713	1991
703	4718	1984
704	4725	1977
705	4731	1970
706	4736	1963
707	4745	1957
708	4752	1950
709	4759	1943
710	4766	1937
711	4771	1930
712	4778	1923
713	4785	1916
714	4790	1909
715	4799	1903
716	4807	1897
717	4812	1889
718	4820	1884
719	4829	1878
720	4835	1871
721	4844	1865
722	4857	1860
723	4866	1855
724	4874	1849
725	4883	1842
726	4887	1835
727	4895	1828
728	4899	1821
729	4905	1814
730	4910	1806
731	4916	1800
732	4921	1792
733	4927	1785
734	4931	1778
735	4937	1771
736	4945	1764
737	4950	1757
738	4957	1750
739	4961	1743
740	4967	1736
741	4972	1728
742	4980	1722
743	4987	1716
744	4993	1709
745	5000	1702
746	5004	1694
747	5010	1688
748	5015	1680
749	5022	1674
750	5027	1666
751	5034	1660
752	5040	1653
